formula, formation_energy_per_atom, density, band_gap, total_magnetization, k, g, elastic_anisotropy
Al, 0.000000, 2.720050, 0.000000, 0.000416, 83.277020, 25.309159, 0.651582
Al(CoSi)2, -0.510519, 5.387586, 0.000000, 0.007982, 177.252050, 98.564362, 0.266250
Al(CrB)2, -0.465762, 5.327369, 0.000000, 0.029704, 227.838651, 176.002636, 0.083290
Al(FeB)2, -0.400859, 5.791994, 0.000000, 2.735046, 206.269029, 131.337315, 0.201765
Al12Re, -0.143400, 3.956299, 0.000000, 0.000588, 95.898734, 78.848971, 0.003451
Al12Tc, -0.175109, 3.277390, 0.000000, 0.014553, 94.801179, 73.683886, 0.000054
Al12W, -0.080956, 3.857813, 0.000000, 0.004543, 91.675066, 56.741333, 0.000663
Al13Os4, -0.443801, 6.984116, 0.000000, 0.000921, 147.864237, 80.189099, 0.462952
Al21Pd8, -0.559394, 5.109098, 0.000000, 0.002137, 108.702439, 50.190428, 0.028137
Al21Pt8, -0.756605, 7.709187, 0.000000, 0.000070, 133.450235, 62.504231, 0.028662
Al23B50, -0.054580, 3.044723, 0.000000, 0.000160, 190.046868, 164.850683, 5.413358
Al2Au, -0.423056, 7.476905, 0.000000, 0.000116, 105.021923, 35.814698, 0.839263
Al2CdS4, -1.255046, 3.000015, 2.726300, 0.000026, 38.713014, 23.712715, 1.035217
Al2CdSe4, -1.080791, 4.257188, 2.004700, 0.000138, 33.042718, 20.728837, 0.894459
Al2CdTe4, -0.705593, 4.750712, 1.624500, 0.000003, 25.729822, 16.874313, 0.738451
Al2CoIr, -0.792802, 9.846396, 0.000000, 0.124532, 197.628438, 99.063011, 0.512729
Al2CoRu, -0.657683, 6.975699, 0.000000, 0.003023, 188.158195, 111.704247, 0.045761
Al2Cu, -0.178066, 4.064939, 0.000000, 0.000001, 99.636176, 49.004821, 0.422851
Al2FeCo, -0.474331, 5.977172, 0.000000, 0.065320, 181.144894, 119.402007, 0.240531
Al2FeO4, -2.903564, 4.115687, 0.000000, 0.000000, 184.704641, 74.987167, 14.148680
Al2HgS4, -1.107708, 3.882168, 2.024400, 0.000019, 37.952394, 23.341859, 0.920314
Al2HgSe4, -0.959561, 5.014469, 1.425400, 0.000000, 31.796014, 20.308948, 0.831653
Al2HgTe4, -0.622917, 5.371464, 1.110800, 0.000270, 26.070261, 16.843347, 0.724503
Al2IrOs, -0.715671, 13.209461, 0.000000, 0.000349, 235.091832, 128.309096, 0.013246
Al2IrRh, -1.025920, 10.567765, 0.000000, 0.000108, 208.003818, 98.291430, 0.273628
Al2IrRu, -0.887818, 10.575964, 0.000000, 0.001165, 219.282110, 125.186074, 0.000303
Al2NiO4, -2.802741, 4.400829, 3.475600, 0.000000, 203.649343, 112.443747, 0.321546
Al2O3, -3.426551, 3.873498, 5.853700, 0.000000, 232.044682, 149.129352, 0.159210
Al2Os, -0.562094, 9.597863, 0.289900, 0.000006, 190.912352, 145.824518, 0.310081
Al2PdRu, -0.809226, 7.836061, 0.000000, 0.000104, 177.620273, 84.965448, 0.406150
Al2Pt, -0.894034, 7.858009, 0.000000, 0.000458, 128.642752, 39.154312, 0.149189
Al2Ru, -0.718840, 6.098592, 0.086400, 0.001773, 168.125242, 105.999811, 0.271599
Al2RuPt, -0.900839, 10.463842, 0.000000, 0.000006, 200.904717, 98.545615, 0.113071
Al2S3, -1.358344, 2.287793, 2.759900, 0.000223, 32.908102, 22.332569, 0.362897
Al2SiO5, -3.374831, 3.050820, 4.838200, 0.001098, 145.406500, 89.988112, 0.196366
Al2Te3, -0.704501, 3.958333, 1.799200, 0.000000, 9.109211, 7.053186, 18.811495
Al2Te5, -0.626245, 4.456918, 1.073400, 0.003235, 9.599920, 7.126930, 16.117108
Al2ZnS4, -1.301154, 3.204055, 2.493400, 0.000327, 84.068812, 49.046254, 1.049573
Al2ZnSe4, -1.100774, 4.145150, 2.152900, 0.001636, 38.113889, 26.017249, 0.793121
Al2ZnTe4, -0.704941, 4.705688, 1.625100, 0.003689, 29.380947, 20.194888, 0.668696
Al3Cr, -0.140382, 3.815306, 0.000000, 1.007641, 107.106025, 89.250550, 0.849544
Al3Ir, -0.664651, 7.266573, 0.000000, 0.000621, 151.152739, 59.155416, 2.627226
Al3Ni, -0.404916, 4.034332, 0.000000, 0.000476, 113.346268, 66.147252, 0.058662
Al3Ni2, -0.613080, 4.767799, 0.000000, 0.002201, 130.419742, 85.910275, 0.048240
Al3Ni5, -0.565892, 6.717313, 0.000000, 0.000930, 167.248703, 83.669109, 1.357500
Al3Pd2, -0.772917, 5.997110, 0.000000, 0.000326, 128.875561, 63.710940, 0.112425
Al3Pt2, -0.994325, 9.600671, 0.000000, 0.000723, 153.703006, 74.548167, 0.114916
Al3Pt5, -0.907907, 14.705814, 0.000000, 0.002788, 199.170975, 64.392628, 0.361127
Al3V, -0.288134, 3.714657, 0.000000, 0.000003, 120.056858, 102.484561, 0.246597
Al4Bi2O9, -2.857885, 6.009410, 2.800200, 0.000016, 107.431162, 71.721944, 0.308622
Al4C3, -0.092082, 2.930804, 1.315400, 0.000424, 160.226500, 115.031789, 0.199212
Al4Cu9, -0.208091, 6.853923, 0.321900, 0.102088, 129.366419, 69.764101, 0.003413
Al5Co2, -0.460907, 4.338446, 0.000000, 0.001528, 125.447635, 84.460460, 0.091367
Al5Rh2, -0.741012, 5.229412, 0.000000, 0.000295, 131.206597, 77.068572, 0.058502
Al6Ru, -0.329378, 3.926535, 0.000000, 0.000275, 112.231198, 60.074855, 0.487818
Al7CoCu2, -0.278299, 4.243439, 0.000000, 0.025061, 110.002807, 63.903074, 0.079246
Al8Mo3, -0.335749, 5.003747, 0.000000, 0.000011, 141.699194, 106.823892, 0.268870
Al9Co2, -0.331883, 3.608519, 0.000000, 0.000095, 106.670241, 74.754547, 0.133782
AlAg2, -0.075477, 7.814766, 0.000000, 0.000027, 94.680945, 30.539397, 0.329987
AlAgO2, -2.307473, 6.059587, 1.409100, 0.002114, 156.124916, 81.338634, 5.472169
AlAgS2, -1.008908, 3.801893, 1.899200, 0.000031, 63.478917, 22.510878, 0.723852
AlAgSe2, -0.855273, 4.791076, 1.135200, 0.000170, 52.012307, 19.014794, 0.646825
AlAgTe2, -0.571073, 5.137260, 1.046900, 0.000944, 42.383269, 17.780988, 0.700724
AlAs, -0.485142, 3.590699, 1.503700, 0.001945, 69.781367, 41.139752, 0.538894
AlAsO4, -2.444838, 2.702323, 4.263400, 0.000070, 24.647770, 20.265226, 0.737650
AlAu, -0.395538, 10.542352, 0.000000, 0.001636, 110.116105, 39.410057, 3.562187
AlAu2, -0.316636, 13.667781, 0.000000, 0.000021, 119.445127, 33.579309, 0.412559
AlAu4, -0.210942, 15.415555, 0.000000, 0.000155, 126.654958, 18.659340, 2.271664
AlBMo, -0.449972, 6.301296, 0.000000, 0.000009, 211.853950, 142.567906, 0.378680
AlBPbO4, -2.720202, 6.029646, 2.756700, 0.004695, 75.833030, 54.078740, 2.559698
AlBr3, -1.518061, 2.650776, 4.099200, 0.000488, 1.372439, 0.988630, 1.575414
AlCl3, -1.965812, 2.215249, 5.263000, 0.000000, 17.301277, 11.079439, 140.685231
AlClO, -2.785190, 2.642278, 5.594000, 0.000003, 54.627414, 38.029951, 58.322708
AlCo, -0.611475, 6.136769, 0.000000, 0.005119, 178.598092, 120.130827, 0.209361
AlCr2, -0.122253, 5.748722, 0.000000, 0.165026, 186.871442, 103.382270, 0.075704
AlCr2C, -0.173280, 5.338344, 0.000000, 0.037903, 188.909718, 134.057755, 0.022354
AlCrRu2, -0.356691, 8.726919, 0.000000, 1.037037, 230.679703, 112.991081, 0.000002
AlCu, -0.213428, 5.356855, 0.000000, 0.002109, 113.293129, 67.626255, 0.143413
AlCu3, -0.189439, 7.287482, 0.000000, 0.000092, 133.064081, 48.359287, 0.607228
AlCuAu2, -0.257724, 12.907325, 0.000000, 0.000010, 129.388163, 39.113113, 6.799516
AlCuCl4, -1.576896, 2.478892, 2.511200, 0.001111, 12.503938, 6.353234, 1.206494
AlCuO2, -2.417254, 4.978571, 1.797800, 0.000408, 178.183755, 94.354017, 2.292269
AlCuPt2, -0.697732, 14.130170, 0.000000, 0.000092, 196.103688, 86.377934, 0.547193
AlCuS2, -1.060450, 3.435994, 1.691800, 0.000077, 80.556101, 37.731467, 0.782379
AlCuSe2, -0.861517, 4.651355, 0.894100, 0.000277, 62.543322, 30.426506, 0.755147
AlCuTe2, -0.550502, 5.129282, 1.018600, 0.000447, 51.670674, 25.816270, 0.655075
AlF3, -3.870370, 3.021262, 7.905400, 0.000025, 50.086490, 68.262836, 1.331443
AlFe, -0.326893, 5.791723, 0.000000, 0.746321, 174.590961, 104.654975, 1.072940
AlFe3C, -0.160580, 6.473382, 0.000000, 3.023535, 230.120279, 106.145062, 0.966238
AlFeCo2, -0.371349, 7.183513, 0.000000, 4.978493, 187.926851, 107.141550, 1.013944
AlFeRh2, -0.595927, 8.787100, 0.000000, 4.285210, 193.027238, 65.755539, 29.703018
AlGeRu2, -0.495406, 9.159919, 0.000000, 0.000097, 218.782626, 94.137711, 0.071383
AlHO2, -2.646066, 3.004164, 5.286000, 0.000347, 119.641355, 91.471874, 1.953792
AlI3, -0.955214, 3.204476, 3.263900, 0.009019, 0.986701, 0.829069, 2.221540
AlIr, -0.958980, 13.244938, 0.000000, 0.000011, 229.308499, 116.077681, 0.047068
AlMo3, -0.244104, 8.470008, 0.000000, 0.010721, 224.924474, 124.067957, 0.229502
AlN, -1.584397, 3.200890, 4.046700, 0.000119, 194.807783, 121.897164, 0.034315
AlNi, -0.658808, 5.906845, 0.000000, 0.001025, 161.578573, 83.867988, 1.989467
AlNi3, -0.434095, 7.466732, 0.000000, 0.735875, 179.507813, 95.325350, 1.495648
AlP, -0.609771, 2.304786, 1.629400, 0.000039, 85.171369, 49.559535, 0.525943
AlPO4, -3.120801, 2.103308, 5.669600, 0.000282, 26.917331, 27.091090, 0.809156
AlPd, -0.914021, 7.491359, 0.000000, 0.018186, 147.907260, 65.250111, 0.015463
AlPd2, -0.831161, 8.982676, 0.000000, 0.000044, 158.559964, 52.691185, 0.305628
AlPd5, -0.462695, 10.201503, 0.000000, 0.000224, 161.649472, 54.939573, 0.741563
AlPd5I2, -0.524212, 7.734447, 0.000000, 0.000110, 24.331110, 16.971744, 5.530350
AlPt, -1.041411, 12.404254, 0.000000, 0.000009, 184.177760, 73.686050, 0.013487
AlPt2, -0.853658, 15.416862, 0.000000, 0.000032, 204.799047, 59.294652, 0.271902
AlRe2, -0.262899, 15.207200, 0.000000, 0.002337, 256.188322, 149.009255, 0.776642
AlRh, -1.088972, 7.934752, 0.000000, 0.001190, 195.916058, 102.346438, 0.011922
AlRu, -0.673477, 7.832535, 0.000000, 0.002963, 202.210808, 104.913051, 0.177173
AlSb, -0.255497, 4.078412, 1.225500, 0.000323, 49.203181, 30.561580, 0.343695
AlSbO4, -2.543367, 5.632515, 1.617800, 0.000000, 203.891655, 131.290707, 1.187359
AlSiRu2, -0.713620, 8.201259, 0.000000, 0.002786, 236.133235, 112.843323, 0.093934
AlSiTe3, -0.521205, 4.572881, 1.250400, 0.000690, 24.720315, 16.327577, 28.289750
AlTlF4, -3.283520, 5.861847, 4.433300, 0.000456, 41.680719, 27.108927, 2.112048
AlV2C, -0.515901, 4.872389, 0.000000, 0.004703, 170.766310, 131.797845, 0.065533
AlV3, -0.134244, 5.367847, 0.000000, 0.343470, 159.329995, 17.294734, 17.392708
AlVCo2, -0.430988, 6.818543, 0.000000, 2.001056, 192.224486, 103.068938, 0.518015
AlVFe2, -0.428755, 6.773328, 0.000000, 0.018851, 217.579549, 136.877834, 0.002569
AlVOs2, -0.473442, 13.882211, 0.000000, 0.001460, 272.580531, 140.076856, 0.011205
AlVRu2, -0.641666, 8.575395, 0.000000, 0.000046, 235.095322, 123.553914, 0.036260
AlZnIr2, -0.606054, 14.261103, 0.000000, 0.000721, 220.997170, 110.100745, 0.117258
AlZnRh2, -0.789376, 9.017765, 0.000000, 0.001028, 184.717944, 81.194099, 0.018734
Ba3(AlGe)2, -0.468219, 4.452898, 0.000000, 0.003556, 33.455675, 22.020865, 0.527916
Ba3(AlSi)2, -0.336036, 3.898588, 0.000000, 0.001158, 35.418361, 23.046584, 0.580987
Ba5Al5Pb, -0.330828, 4.695459, 0.000000, 0.004875, 28.803846, 17.550128, 0.088193
Ba5Al5Sn, -0.346908, 4.325593, 0.000000, 0.004412, 29.879533, 18.202841, 0.080649
BaAl4, -0.241182, 3.425432, 0.000000, 0.000337, 51.296745, 34.783215, 0.057859
BaAl9Fe2, -0.316682, 3.724330, 0.000000, 0.061837, 79.409711, 47.979938, 0.702283
BaAlGe, -0.475890, 4.545637, 0.000000, 0.006569, 44.632804, 34.146413, 0.135295
BaAlSi, -0.364183, 3.806506, 0.000000, 0.000409, 50.039201, 37.851509, 0.164307
BeAl2O4, -3.352918, 3.599682, 6.117700, 0.000958, 214.760010, 147.431807, 0.093418
BeAlB, -0.052391, 2.543527, 0.000000, 0.000029, 141.068261, 134.281282, 0.269638
BeAlIr2, -0.774928, 13.962701, 0.000000, 0.000191, 237.771018, 126.035525, 0.070755
BeAlRh2, -0.868894, 8.161792, 0.000000, 0.000484, 198.576464, 104.058954, 0.035651
Ca(Al2Cu)4, -0.266536, 4.211158, 0.000000, 0.002553, 92.860514, 63.042987, 0.023168
Ca(AlGa)2, -0.347466, 3.821550, 0.000000, 0.000446, 58.191231, 28.728011, 0.451897
Ca(AlGe)2, -0.390841, 3.617437, 0.000000, 0.004089, 58.422309, 39.713198, 0.232457
Ca(AlSi)2, -0.271135, 2.347097, 0.000000, 0.000888, 62.960753, 41.499649, 0.267249
Ca(AlZn)2, -0.289469, 3.825548, 0.000000, 0.000113, 61.494543, 37.328933, 0.346317
Ca3Al3N5, -1.349014, 3.034419, 2.617900, 0.000051, 115.133139, 65.207046, 1.372431
Ca3Al7Ag2, -0.310123, 3.533878, 0.000000, 0.015868, 63.123285, 40.054792, 0.038972
Ca3AlN3, -1.164926, 3.016465, 2.456500, 0.001961, 93.455372, 46.914408, 1.754721
Ca3AlSb3, -0.917237, 4.043706, 0.253400, 0.003362, 38.300135, 22.991939, 0.075641
Ca5(AlSb3)2, -0.859343, 4.237039, 0.168400, 0.000152, 39.413731, 23.399586, 0.129009
CaAl2, -0.327868, 2.425285, 0.000000, 0.007764, 56.463856, 41.367413, 0.001619
CaAl4O7, -3.463972, 2.813029, 3.999400, 0.000002, 114.582233, 49.639466, 0.772041
CaAlAu, -0.693878, 6.721813, 0.000000, 0.000876, 66.999507, 30.529565, 0.705749
CaAlPd, -0.736525, 4.518632, 0.000000, 0.005849, 63.444589, 30.061654, 1.129019
CaAlSi, -0.365389, 2.354365, 0.000000, 0.011294, 61.675328, 40.293084, 0.433900
CeAlPd, -0.782567, 7.296181, 0.000000, 0.007089, 94.410888, 40.652697, 0.274727
CsAlO2, -2.849799, 4.611662, 4.273500, 0.000039, 92.886168, 54.863543, 1.770747
Eu(AlGe)2, -0.425600, 5.177409, 0.000000, 6.976672, 57.657459, 37.545356, 0.352605
Eu(AlSi)2, -0.319079, 4.034207, 0.000000, 6.955282, 61.712180, 41.080366, 0.365937
Hf2Al3C4, -0.493379, 7.559589, 0.000000, 0.005025, 197.859732, 156.967291, 0.044906
HfAl2, -0.441319, 7.417121, 0.000000, 0.002488, 120.312216, 87.928423, 0.038601
HfAl3, -0.395299, 6.258947, 0.000000, 0.001267, 106.109567, 80.358803, 0.073172
HfAlCo2, -0.585678, 9.779118, 0.000000, 1.007154, 172.350303, 89.357555, 0.052742
HfAlCu2, -0.328565, 9.277710, 0.000000, 0.000468, 134.711772, 56.441992, 0.707011
HfAlNi2, -0.636474, 9.530654, 0.000000, 0.004348, 164.504484, 49.459730, 0.124193
HfAlPd2, -0.828651, 10.449848, 0.000000, 0.001195, 163.469992, 28.289498, 0.832686
HfAlPt, -1.042517, 12.571931, 0.000000, 0.000697, 163.711434, 78.513614, 0.416765
HfAlRu2, -0.756082, 10.977756, 0.000000, 0.010794, 194.710499, 80.224535, 0.020081
K2AlF5, -3.516090, 2.430933, 6.323900, 0.000638, 28.354511, 16.707655, 2.027886
LaAl, -0.411507, 5.190967, 0.000000, 0.000889, 53.384724, 34.438343, 0.159455
LaAlO3, -3.722193, 6.371512, 4.018900, 0.000188, 181.311849, 109.262674, 0.385803
Li2AlAg, -0.246341, 3.918742, 0.000000, 0.003563, 48.543532, 29.924724, 7.271993
Li2AlPd, -0.534961, 4.294103, 0.000000, 0.006715, 68.434808, 35.449012, 2.647123
Li2AlPt, -0.703323, 7.064854, 0.000000, 0.002151, 87.739144, 44.665132, 1.937415
Li3Al2, -0.187246, 1.538620, 0.000000, 0.000903, 39.735313, 40.678239, 2.019191
Li3AlN2, -0.967632, 2.334211, 2.937100, 0.000000, 104.493185, 102.235459, 0.132239
LiAl, -0.177638, 1.754628, 0.000000, 0.000199, 49.794396, 45.404081, 1.492544
LiAl2Ir, -0.736202, 7.608513, 0.000000, 0.000474, 134.960047, 70.756372, 3.857054
LiAl2Ni, -0.470410, 3.917294, 0.000000, 0.000406, 101.998300, 71.626327, 2.685693
LiAl2Pd, -0.640417, 4.875656, 0.000000, 0.002287, 104.176373, 61.681546, 4.382013
LiAl2Pt, -0.827009, 7.526715, 0.000000, 0.001143, 126.875530, 69.287729, 4.031594
LiAl2Rh, -0.707891, 4.941954, 0.000000, 0.000017, 118.575047, 68.592232, 2.627517
LiAl3, -0.101637, 2.237075, 0.000000, 0.000293, 64.088620, 44.368857, 0.131852
LiAl5O8, -3.353554, 3.517311, 5.249100, 0.000000, 196.221173, 127.851098, 0.606259
LiAlAg2, -0.253197, 6.463471, 0.000000, 0.002321, 68.576458, 34.987210, 4.363341
LiAlAu2, -0.551761, 11.312645, 0.000000, 0.000185, 93.529845, 39.232696, 2.483794
LiAlCu2, -0.221279, 5.265674, 0.000000, 0.001994, 88.138589, 50.855720, 3.845580
LiAlGe, -0.291342, 3.245854, 0.052700, 0.000993, 60.956155, 50.959209, 0.044618
LiAlNi2, -0.399544, 5.466500, 0.000000, 0.005884, 120.400759, 45.098835, -7.029273
LiAlO2, -3.082883, 2.530052, 4.589900, 0.000000, 93.728309, 53.306356, 0.167338
LiAlPd2, -0.815359, 7.418090, 0.000000, 0.000427, 129.033417, 28.047267, -5.657743
LiAlPt2, -0.939068, 12.875143, 0.000000, 0.000032, 161.485432, 0.626703, -4.988307
LiAlRh2, -0.669521, 7.593318, 0.000000, 0.000012, 148.443752, 64.522609, 0.077072
LiAlSi, -0.191266, 1.966694, 0.076500, 0.000616, 62.992534, 55.650833, 0.036619
LiAlTe2, -0.925177, 3.905931, 2.457200, 0.003159, 26.630517, 14.140806, 0.975757
LiCa2Al, -0.143257, 1.724526, 0.000000, 0.001819, 28.684277, 21.727542, 1.338089
