formula, formation_energy_per_atom, density, band_gap, total_magnetization, k, g, elastic_anisotropy
SrAl2O4, -3.453297, 3.433796, 4.574200, 0.000984, 80.521755, 42.099030, 0.102497
Al6Re, -0.205807, 5.051143, 0.000000, 0.004055, 112.764240, 71.423016, 0.187593
Ca3(AlGe)2, -0.511948, 3.018056, 0.000000, 0.004598, 47.686663, 34.250249, 0.264157
Nb4AlC3, -0.519724, 6.848878, 0.000000, 0.001113, 216.415921, 145.997700, 0.057401
CaAl9Co2, -0.378272, 3.197264, 0.000000, 0.019444, 84.734060, 56.347104, 0.090428
Al3Fe2Si3, -0.321342, 4.292780, 0.000000, 0.221007, 144.703440, 91.374929, 0.287378
AlAs, -0.478220, 3.590982, 1.687000, 0.000930, 67.372101, 39.886832, 0.203933
Mg(AlC)2, -0.062730, 2.929438, 1.748100, 0.001035, 137.295001, 104.604335, 1.844378
Ba3(AlSn)2, -0.510477, 4.584363, 0.000000, 0.007964, 31.211565, 20.334436, 0.327603
SrAl2, -0.254258, 3.302373, 0.000000, 0.001137, 48.411681, 36.805463, 0.000126
NbAlNi2, -0.430927, 7.312635, 0.000000, 0.002365, 180.578611, 55.694174, 3.206002
AlCu3, -0.181494, 7.301686, 0.000000, 0.000538, 128.684206, 44.152510, -10.071100
YAl, -0.414904, 4.104683, 0.000000, 0.000280, 64.877071, 44.122318, 3.749081
AlSb, -0.247204, 4.079590, 0.917900, 0.001644, 49.159774, 28.804390, 0.206029
KAlTe2, -0.996140, 3.968484, 1.703700, 0.001072, 17.012288, 11.467255, 0.720814
Al6Tc, -0.272195, 3.794006, 0.000000, 0.001622, 107.489743, 68.839834, 0.202308
Ba(AlSi)2, -0.260675, 3.580227, 0.000000, 0.000103, 48.072359, 27.011984, 2.811914
HfAl3, -0.386553, 6.195578, 0.000000, 0.003457, 106.870517, 87.325156, 0.485805
CaAl2O4, -3.446381, 2.839015, 4.190300, 0.000215, 78.579302, 42.735805, 0.237233
Ba(AlTe2)2, -1.131517, 4.576344, 1.504700, 0.000872, 21.944668, 13.205690, 0.407539
Al3Mo, -0.321391, 4.822354, 0.000000, 0.001033, 136.068197, 100.101320, 0.300455
AlPd, -0.904822, 7.539752, 0.000000, 0.003334, 150.343010, 66.575442, 0.394314
AlPO4, -3.111593, 2.459023, 5.617700, 0.001019, 29.612093, 35.706924, 0.526142
Al2O3, -3.417170, 3.509944, 4.455300, 0.000000, 187.060591, 108.261850, 0.817141
Zr6Al2Fe, -0.302352, 5.979509, 0.000000, 0.528669, 104.600796, 47.881827, 0.004422
Al2Fe3Si4, -0.398398, 4.934230, 0.000000, 0.000563, 173.137010, 109.757294, 0.114545
AlB2, -0.042987, 3.147666, 0.000000, 0.000017, 190.529041, 153.134925, 4.520156
AlFeF5, -3.312346, 3.420993, 4.258400, 4.000255, 103.668501, 56.369250, 2.619271
Ti7Al2O15, -3.394625, 4.066014, 0.000000, 3.302170, 197.604971, 89.205646, 0.332874
AlTlSe2, -0.980669, 5.885181, 0.587300, 0.001467, 26.258317, 14.607555, 1.033628
AlPO4, -3.110136, 1.884749, 5.323200, 0.000000, 121.362850, 39.763693, 0.227142
AlGa3N4, -0.877397, 5.299635, 2.180800, 0.000340, 177.614051, 116.974768, 1.011100
Y(Al2Cr)4, -0.214618, 4.236139, 0.000000, 2.819562, 119.593671, 79.746446, 0.216111
Al12Mo, -0.119413, 3.195666, 0.000000, 0.004903, 91.419394, 57.009932, 0.001296
Y4Al2O9, -3.805015, 4.383510, 4.210100, 0.000754, 132.533800, 64.666638, 0.057872
AlV4C3, -0.506118, 5.249447, 0.000000, 0.010709, 219.469987, 166.641868, 0.024378
GdAlO3, -3.690450, 7.235659, 3.238200, 28.006034, 186.015705, 110.663378, 0.231183
AlPt3, -0.680620, 16.841278, 0.000000, 0.003044, 225.230461, 93.171099, 0.221167
AlAuO2, -2.224651, 9.213030, 0.588800, 0.000021, 174.890342, 84.769549, 2.126630
Al2Cu, -0.165535, 4.382045, 0.000000, 0.000113, 99.386015, 42.966475, 0.735159
HfAl, -0.395528, 8.963278, 0.000000, 0.000569, 117.173223, 78.115902, 0.512254
Na3AlF6, -3.382048, 2.788722, 6.556400, 0.000000, 49.809964, 27.519533, 0.357008
DyAlO3, -3.748274, 7.547276, 5.723000, 0.000000, 193.212118, 115.228196, 0.228861
YAl3, -0.424922, 3.642540, 0.000000, 0.000105, 76.317446, 62.637986, 0.000422
KAlF4, -3.640183, 2.859642, 6.937700, 0.000000, 46.387137, 29.715695, 15.877913
TiAl2O5, -3.441487, 3.609658, 2.943400, 0.000025, 185.955971, 96.474516, 0.333834
Zr2AlC, -0.643925, 5.238953, 0.000000, 0.000479, 124.173066, 90.072535, 0.033373
TaAlNi2, -0.457946, 10.109650, 0.000000, 0.000121, 191.537497, 62.890688, 2.089891
NaAlSe2, -1.251100, 3.643191, 2.149800, 0.000285, 29.386348, 15.472607, -42.360546
AlGaN2, -1.105076, 4.630280, 2.664200, 0.000000, 184.172800, 122.362633, 1.057616
LiAlO2, -3.067125, 3.295159, 5.884900, 0.000008, 147.123844, 116.333321, 1.413837
Ti3AlN, -1.017868, 4.351485, 0.000000, 0.004625, 163.271039, 47.665003, 0.667806
Zr6Al2Ni, -0.346558, 5.959994, 0.000000, 0.008930, 104.883463, 51.421746, 0.010573
CaAl2SiO6, -3.428255, 3.319303, 5.047000, 0.000833, 130.572728, 73.604627, 0.613495
Al2O3, -3.409664, 3.657878, 4.827400, 0.000000, 201.946041, 104.219909, 0.167384
AlCrFe2, -0.164222, 6.949494, 0.000000, 0.997566, 239.460242, 102.052674, 0.596619
Al3Os2, -0.488636, 10.981230, 0.000000, 0.029181, 203.418745, 113.996143, 0.052051
KAlF4, -3.635954, 2.777231, 6.792900, 0.000000, 59.090468, 30.078739, 83.251941
Zr2Al, -0.358074, 5.595350, 0.000000, 0.000007, 103.369302, 53.677900, 0.160277
Sc2AlRu, -0.529614, 5.046351, 0.000000, 0.000222, 111.011428, 40.632473, 1.088300
CeAlO3, -3.602373, 6.580870, 0.000000, 1.013931, 190.884817, 107.341085, 0.989883
YAlO3, -3.720762, 5.187110, 5.540200, 0.000000, 190.533113, 113.898180, 0.233012
Zr2AlN, -1.167426, 5.580413, 0.000000, 0.000786, 141.879310, 94.423230, 0.054022
AlOs, -0.400839, 13.121639, 0.000000, 0.002053, 236.317899, 122.466444, 0.400520
AlCo3C, -0.223613, 6.944422, 0.000000, 0.000151, 234.454510, 121.207527, 0.420936
Mg(AlSe2)2, -1.222293, 3.579238, 1.053000, 0.002878, 24.816894, 14.531393, 22.372120
Ca2Al2SiO7, -3.443059, 2.977142, 4.284800, 0.000021, 103.944566, 54.919194, 0.471374
AlN, -1.563053, 3.192882, 3.305600, 0.000238, 194.667214, 134.359574, 1.259634
LiAl3, -0.080193, 2.229478, 0.000000, 0.001706, 63.097736, 34.700278, 0.195948
Y(AlSi)2, -0.351003, 3.267732, 0.000000, 0.006945, 77.003403, 43.569111, 0.831978
ZrAl, -0.463168, 4.961627, 0.000000, 0.001356, 108.675785, 72.065768, 0.711774
ZrAl3, -0.464341, 4.127421, 0.000000, 0.014688, 100.287279, 63.826765, 0.034013
Al2NiO4, -2.779106, 4.298874, 3.120000, 0.000036, 136.128500, -46.762687, -6.458659
AlP(H2O3)2, -2.177512, 2.522072, 5.423900, 0.000852, 73.493562, 49.061508, 0.167503
Na4Al3(SiO4)3, -2.999709, 2.079196, 0.261900, 1.952103, 27.863366, 29.065842, 0.155976
Al2FeNi, -0.499212, 5.904564, 0.000000, 0.224700, 167.534014, 102.303615, 0.871935
TiAl3, -0.373044, 3.403083, 0.000000, 0.000890, 105.798346, 69.029986, 0.030330
La8MgAl7O24, -3.630538, 6.290277, 0.000000, 0.000745, 184.220356, 101.718572, 0.253282
AlCu3, -0.164554, 7.268639, 0.000000, 0.000498, 130.547096, 64.630855, 7.129504
Mn2AlCo, -0.278881, 6.868235, 0.000000, 1.997458, 158.802321, 111.253031, 0.754408
Ca3(AlSi)2, -0.400621, 2.226697, 0.000000, 0.000234, 51.113240, 36.111596, 0.279722
ScAlO3, -3.669622, 4.169315, 4.591900, 0.000233, 208.819690, 118.546313, 0.220473
AlTlO2, -2.431645, 6.618871, 2.197000, 0.000084, 99.580741, 42.453298, 3.288468
Mg(AlS2)2, -1.447815, 2.213516, 1.837200, 0.001406, 30.830809, 18.592728, 20.855366
MnAlPd2, -0.593034, 8.265038, 0.000000, 4.035224, 141.404479, 49.595850, 8.780753
Sr(AlH)2, -0.366361, 2.837524, 0.000000, 0.000015, 45.273640, 38.189458, 0.755907
Al2O3, -3.394141, 3.575539, 4.141600, 0.000000, 197.258018, 118.997294, 0.789733
AlBO3, -3.118358, 3.497216, 5.839200, 0.000218, 210.349527, 141.269403, 0.471289
Al3Cu2, -0.158314, 4.630632, 0.000000, 0.003471, 102.141420, 53.312550, 2.231484
Mg(AlH4)2, -0.148527, 1.000495, 4.346400, 0.000093, 15.606757, 8.279900, 2.144155
AlHO2, -2.611743, 3.423456, 5.657200, 0.000046, 157.583248, 133.661657, 0.110372
AlInO3, -2.677147, 5.613716, 2.162000, 0.000186, 184.266701, 89.940136, 0.201583
Al2O3, -3.391416, 3.574528, 4.069800, 0.000000, 197.357591, 118.797195, 0.776731
Hf3Al2, -0.330563, 9.889704, 0.000000, 0.313634, 115.004383, 66.605297, 0.461004
AlFe2Mo, -0.176040, 7.741151, 0.000000, 0.875380, 225.310105, 83.863580, 1.831505
AlPd, -0.875437, 7.599549, 0.000000, 0.001311, 156.423388, 58.527503, 1.420365
Zr2Al4C5, -0.348177, 4.336534, 0.000000, 0.000130, 183.075346, 127.752795, 0.039714
UAl2, -0.159625, 8.427796, 0.000000, 5.377754, 82.811555, 25.015613, -16.888279
MnAlCu2, -0.130838, 6.685943, 0.000000, 3.502564, 123.796328, 66.152235, 9.125891
Al5Mo, -0.242579, 4.122877, 0.000000, 0.000340, 120.859437, 94.644205, 0.035132
Al2Pd, -0.617258, 5.071368, 0.000000, 0.000152, 112.446752, 30.983048, 0.185297
EuAlO3, -3.323593, 7.023941, 0.000000, 23.999003, 175.282291, 107.010168, 0.174779
Li3Al, -0.079682, 1.178288, 0.000000, 0.001277, 26.632568, 18.736853, 0.222829
Hf2Al, -0.262791, 10.396284, 0.000000, 0.004657, 113.362671, 57.321541, 0.338669
Al3Cu, -0.089984, 4.022426, 0.000000, 0.000045, 93.505203, 50.184032, 0.348506
AlFeO3, -2.522868, 4.238397, 1.651800, 40.003615, 178.338568, 81.530725, 0.081443
BaAl2, -0.198849, 4.079687, 0.000000, 0.000722, 42.325849, 31.751321, 0.000112
Al5Mo, -0.238315, 4.120405, 0.000000, 0.000258, 120.019346, 85.983621, 0.080789
Al2O3, -3.380951, 2.528752, 4.234700, 0.000012, 97.374101, 49.281062, 0.893115
YAlO3, -3.693791, 5.229988, 4.958600, 0.000015, 191.870408, 106.516280, 0.413772
Nb3Al, -0.173775, 7.157298, 0.000000, 0.326479, 161.138959, 22.099813, 0.806514
AlVNi2, -0.387165, 6.672940, 0.000000, 0.000293, 177.202756, 72.229996, 7.254899
AlNi3, -0.387186, 7.448140, 0.000000, 0.000017, 179.989130, 75.382352, -13.781438
Al2O3, -3.378741, 3.910433, 5.441500, 0.000000, 228.003254, 146.245622, 0.157082
AlHO2, -2.597704, 2.920155, 5.019700, 0.000420, 97.314188, 67.188527, 40.100887
MgAlSi, -0.015319, 2.450317, 0.000000, 0.002352, 68.339246, 32.680453, 0.231816
K3AlH6, -0.259849, 1.576950, 1.798800, 0.005842, 20.988862, 10.837302, -5.438384
Ca6Al2NF, -0.965082, 2.272020, 0.000000, 0.367104, 41.094414, 25.293563, 4.308354
AlWO4, -2.632035, 7.336640, 0.000000, 0.000029, 208.756463, 131.777120, 1.131611
Y3Al, -0.185031, 4.455986, 0.000000, 0.035959, 49.332416, 32.846080, 0.203737
Al2Mo3C, -0.175292, 7.184750, 0.000000, 0.005944, 227.280491, 87.131407, 0.607880
Al2O3, -3.373716, 2.967299, 4.205500, 0.000604, 132.023627, 64.326710, 3.050319
Hf5Al3, -0.291670, 9.934060, 0.000000, 0.071869, 111.794046, 48.046466, 0.097386
AlBiO3, -2.500511, 8.296037, 2.977900, 0.001087, 131.410649, 80.999206, 1.638652
Li2AlRh, -0.490767, 4.401299, 0.000000, 0.000010, 80.320177, 40.788084, 1.037419
TaAlO4, -3.346549, 7.082091, 2.585900, 0.000000, 218.273416, 124.207785, 0.744236
AlCrCo2, -0.248139, 7.024895, 0.000000, 2.999777, 203.115259, 105.211407, 1.497784
MnAlPt, -0.636606, 10.322806, 0.000000, 7.062297, 129.523912, 47.273738, 1.888565
Al3Tc, -0.318806, 5.007580, 0.000000, 0.000755, 144.774756, 45.706818, -3.197485
Zr2Al, -0.317706, 5.486265, 0.000000, 0.045123, 100.156636, 44.904055, 0.969436
Mg(AlSi)2, 0.021274, 2.314534, 0.000000, 0.000798, 65.636729, 33.500102, 0.291384
Al2CuO4, -2.653946, 4.444364, 0.000000, 1.999439, 185.445628, 54.732281, 3.040870
Ti2AlO4, -3.170859, 4.236964, 0.000000, 0.001942, 207.937518, 73.988430, 0.085155
NaAlO2, -2.868915, 3.485224, 4.729200, 0.000034, 135.227316, 96.823324, 0.422798
Al2O3, -3.361055, 3.679986, 5.667100, 0.000000, 193.083995, 131.260125, 0.510425
Al4Mo, -0.251616, 4.181840, 0.000000, 0.014355, 111.833029, 75.461071, 0.192881
TaAlO4, -3.334315, 7.083050, 1.838200, 0.000225, 220.280466, 134.856554, 1.368165
AlAgS2, -0.938484, 4.412873, 1.707700, 0.000001, 77.049160, 31.828016, 1.685553
Al2O3, -3.354539, 3.664307, 5.492400, 0.000000, 191.678885, 131.520360, 0.539388
LiAlO2, -3.008295, 3.412034, 4.503900, 0.003888, 161.093009, 132.567478, 0.995374
Al2O3, -3.350097, 3.115101, 4.370000, 0.000376, 119.012247, 63.408767, 1.382389
Ti2MnAl, -0.250024, 4.838887, 0.051100, 0.000174, 20.969784, 59.291510, 1.000094
Ta4AlC3, -0.498286, 12.659086, 0.000000, 0.008522, 237.548776, 146.083043, 0.020045
Al2O3, -3.347809, 3.374396, 4.017300, 0.012765, 168.285653, 87.207579, 2.100008
Al2B2Ru3, -0.471216, 7.891567, 0.000000, 0.000011, 230.257173, 105.990034, 0.324808
AlCrO4, -2.385538, 4.099565, 0.000000, 0.999975, 190.363827, 114.941624, 1.203538
YAl3O6, -3.512929, 3.329436, 4.122000, 0.000000, 67.104540, 42.412884, 3.896889
Al2O3, -3.337809, 3.473694, 4.176500, 0.000000, 182.727776, 85.850733, 0.330490
Mg13Al14, 0.064058, 2.172684, 0.000000, 0.086677, 48.905130, 16.463113, -8.706648
Al2O3, -3.336473, 3.631636, 5.060600, 0.000131, 37.745310, 73.878635, -19.767977
Al2O3, -3.335551, 3.638261, 4.002900, 0.001747, 214.287044, 115.967713, 0.589411
Mg41Al67, 0.068657, 2.301730, 0.000000, 0.449627, 55.179580, 23.510043, 0.388816
Al, 0.092444, 2.682723, 0.000000, 0.000238, 69.300772, 15.358971, -5.144510
Al2W, -0.035498, 8.488352, 0.000000, 0.002035, 160.481957, 55.767007, -9.430094
Al2O3, -3.333195, 3.953069, 5.313200, 0.000092, 230.889117, 147.218949, 0.140853
Al6C3N2, -0.536288, 2.988590, 0.115400, 0.000002, 164.693351, 107.803177, 0.235381
AlFe2, -0.141346, 6.093349, 0.000000, 4.477797, 147.086913, 67.974883, 11.750769
Sc2AlC, -0.439555, 3.024334, 0.000000, 0.017670, 86.246952, 57.011000, 0.336030
AlCoO3, -2.241457, 4.769838, 0.348100, 4.000059, 84.006811, 43.399741, 1.987801
AlPt, -0.931805, 12.479671, 0.000000, 0.000423, 185.402211, 49.419103, 11.149056
Al2O3, -3.315760, 3.573288, 3.299400, 0.000142, 156.145637, 104.073808, 2.127688
AlN, -1.469107, 3.421648, 3.268700, 0.001155, 208.546470, 132.607814, 0.921703
AlSb, -0.138496, 4.478852, 0.428200, 0.027864, 48.893325, 30.457286, 0.005646
Ti3Al, -0.160474, 4.195927, 0.000000, 1.976298, 110.217202, 41.672756, 4.465280
Al2O3, -3.301165, 3.482552, 3.343300, 0.000114, 146.984345, 89.697393, 1.625348
Ti2AlCr, -0.133045, 4.639005, 0.000000, 0.851428, 104.524949, 54.851018, 1.407544
AlCrNi2, -0.262135, 6.728186, 0.000000, 3.210409, 162.123914, 71.884762, -315.382016
Ti2AlV, -0.105511, 4.532631, 0.000000, 1.916288, 118.957839, 43.794704, 2.342597
Al2Cu, -0.023568, 4.004613, 0.000000, 0.000893, 90.214514, 52.266318, 0.526451
AlCr(WO4)2, -2.323593, 5.713669, 1.884500, 5.000079, 87.931869, 44.719255, 5.039527
Ta2Al, -0.075956, 12.115013, 0.000000, 0.005691, 162.100299, 58.206282, 0.769843
AlN, -1.412394, 4.041046, 4.417500, 0.000510, 254.683406, 236.263674, 0.947927
Al3Fe, -0.154065, 4.151307, 0.000000, 0.592796, 125.436303, 54.911027, 0.352264
Al2O3, -3.216493, 1.621807, 4.804100, 0.002997, 73.476072, 6.558764, -1704.454041
AlFe2Ni, -0.094356, 6.944882, 0.000000, 4.243924, 148.217601, 36.648507, -5.124112
Ti2AlCu, -0.056974, 4.930497, 0.000000, 3.758048, 106.872478, 49.771049, 3.168882
Mn4Al(CuO4)3, -1.534256, 5.380760, 0.000000, 9.998159, 130.137983, -49.880015, 2.254196
AlAs, -0.236845, 4.549896, 0.000000, 0.000556, 83.263241, 35.887104, 0.308581
AlFe4(CuO4)3, -1.320952, 5.149338, 0.000000, 19.965424, 180.153809, 24.313722, 1.545923
Al2O3, -3.146101, 4.015040, 4.248700, 0.000000, 204.746738, 45.452524, -4.461341
Ti2AlZn, -0.014344, 4.742171, 0.000000, 3.250132, 96.420029, 30.271780, 85.584982
AlRe, -0.010418, 12.322002, 0.000000, 0.006314, 220.399965, 96.256593, 9.818306
Al(SnO2)2, -1.997497, 5.677913, 0.000000, 0.000065, 131.055890, 49.551869, 0.871479
AlBN2, -1.138244, 3.329718, 3.050100, 0.000000, 258.609047, 185.262213, 0.510132
Ca3Al2O6, -2.861125, 2.985600, 0.000000, 0.004284, 91.923841, 41.602695, 0.008102
AlP, 0.058483, 0.528386, 2.163400, 0.000002, 16.676054, 6.921418, -196.347420
Al2O3, -2.626586, 2.715293, 0.608300, 0.000001, 88.616592, 58.887684, 3.087789
AlVNi, 0.375342, 4.900114, 0.000000, 0.005225, 106.599359, -3.081863, -4.967636
Ti2Al, 0.572490, 3.244297, 0.000000, 2.995355, 70.762272, -5.477107, 0.493005
ZrAlW, 0.719548, 7.781616, 0.000000, 0.027863, 100.229745, -12.066747, -5.890312
TaTiAl, 0.811271, 6.642861, 0.000000, 1.907301, 86.398968, -15.523589, 0.217482
AlO, -1.552116, 3.182442, 0.000000, 0.002912, 134.408741, -12.674864, 0.094037
Al2O, -0.141535, 2.520649, 0.000000, 0.003327, 59.314484, -66.975540, 0.134836
